School District Name,Incident Years,Website,Address,Address : Street 1,Address : Street 2,Address : City,Address : State,Address : Zip,Address : Latitude,Address : Longitude,State,Count,Locale Code,Community Type,NCES District ID,Total Students,Enrollment Size,Total Schools,Total Staff (FTE),Percent in Poverty,Poverty Status,Region,District Type
Smyth County Public Schools,2019,http://www.scsb.org/,"121 Bagley Circle Marion, VA 24354",121 Bagley Circle,,Marion,VA,24354,36.8331561,-81.5130614,VA,1,Rural - Fringe (41),D - Rural,5103520,"4,505","C - 2,500 - 9,999",14,706.05,21.42%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Snohomish School District,"2018, 2020",https://www.sno.wednet.edu/,"1601 Avenue D Snohomish, WA 98290",1601 Avenue D,,Snohomish,WA,98290,47.93211,-122.09913,WA,2,Suburb - Midsize (22),B - Suburban,5308020,"10,159","D - 10,000 - 24,999",19,769.97,4.32%,A - Less than 10 percent,D - West,Regular LEA
Snoqualmie Valley School District,2020,https://www.svsd410.org/Domain/4,"8001 Silva Ave SE Snoqualmie, WA 98065",8001 Silva Ave SE,,Snoqualmie,WA,98065,47.52863,-121.82846,WA,1,Town - Fringe (31),C - Town,5308040,"7,214","C - 2,500 - 9,999",14,600.94,5.33%,A - Less than 10 percent,D - West,Regular LEA
Socorro Independent School District,2020,https://www.sisd.net/,"12440 Rojas Drive El Paso, TX 79928",12440 Rojas Drive,,El Paso,TX,79928,31.69864,-106.27268,TX,1,City - Large (11),A - City,4840710,"46,814","E - 25,000 - 99,999",51,,24.32%,C - 20 to 29.99 percent,D - West,Regular LEA
Solen School District #3,2019,http://www.solen.k12.nd.us/,"902 E Broadway Solen, ND 58570",902 E Broadway,,Solen,ND,58570,46.38795,-100.80026,ND,1,Rural - Remote (43),D - Rural,3816980,207,"A - Less than 1,000",2,46.85,34.64%,D - 30 percent or more,C - Central,Regular LEA
Solvay Union Free School District,2019,http://www.solvayschools.org/,"299 Bury Drive Syracuse, NY 13209",299 Bury Drive,,Syracuse,NY,13209,43.09383,-76.24878,NY,1,Suburb - Large (21),B - Suburban,3627150,"1,510","B - 1,000 - 2,499",3,262.5,16.97%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Somerset Hills School District,2020,http://www.shsd.org/,"25 Olcott Ave Bernardsville, NJ 07924",25 Olcott Ave,,Bernardsville,NJ,7924,40.72139,-74.56485,NJ,1,Suburb - Large (21),B - Suburban,3400009,"1,971","B - 1,000 - 2,499",3,309.55,3.25%,A - Less than 10 percent,A - Northeast,Regular LEA
Souderton Area School District,2019,http://www.soudertonsd.org/,"760 Lower Road Souderton, PA  18964",760 Lower Road,,Souderton,PA,18964,40.28653,-75.35876,PA,1,Suburb - Large (21),B - Suburban,4221870,"6,598","C - 2,500 - 9,999",9,928.45,4.55%,A - Less than 10 percent,A - Northeast,Regular LEA
South Adams Schools,2020,https://www.southadams.k12.in.us/District,"1075 Starfire Way Berne, IN 46711",1075 Starfire Way,,Berne,IN,46711,40.6475,-84.95904,IN,1,Town - Distant (32),C - Town,1810260,"1,258","B - 1,000 - 2,499",3,192.45,30.53%,D - 30 percent or more,C - Central,Regular LEA
South Burlington School District,2017,https://www.sbschools.net/,"500 Dorset Street South Burlington, VT 05403",500 Dorset Street,,South Burlington,VT,5403,44.45556,-73.17467,VT,1,City - Small (13),A - City,5007470,"2,448","B - 1,000 - 2,499",5,374.09,5.83%,A - Less than 10 percent,A - Northeast,Regular LEA
South Knox School Corporation,2019,http://www.sknox.k12.in.us/,"6116 E Sr 61 Vincennes, IN 47591",6116 E Sr 61,,Vincennes,IN,47591,38.63499,-87.42111,IN,1,Rural - Distant (42),D - Rural,1810410,"1,030","B - 1,000 - 2,499",2,192.75,14.25%,B - 10 to 19.99 percent,C - Central,Regular LEA
South Texas Independent School District,2017,http://www.stisd.net/,"100 Med High Dr Mercedes, TX 78570",100 Med High Dr,,Mercedes,TX,78570,26.15637,-97.93808,TX,1,,E - N/A,4837150,,G - N/A,,,,E - N/A,D - West,Special LEA
South Washington County Schools,2017,http://www.sowashco.org/,"7362 East Point Douglas Road South Cottage Grove, MN 55016",7362 East Point Douglas Road South,,Cottage Grove,MN,55016,44.82957,-92.95686,MN,2,Suburb - Large (21),B - Suburban,2733810,"18,187","D - 10,000 - 24,999",28,"2,187.58",3.69%,A - Less than 10 percent,C - Central,Regular LEA
South Windsor Public Schools,2020,http://www.southwindsorschools.org/,"1737 Main Street South Windsor, CT  06074",1737 Main Street,,South Windsor,CT,6074,41.85452,-72.60684,CT,1,Suburb - Large (21),B - Suburban,904170,"4,340","C - 2,500 - 9,999",6,733.83,4.90%,A - Less than 10 percent,A - Northeast,Regular LEA
Southampton Public Schools,2020,https://www.hr-k12.org/#,"34 Pomeroy Meadow Road Southampton, MA 01073",34 Pomeroy Meadow Road,,Southampton,MA,1073,42.24139,-72.7242,MA,1,Rural - Fringe (41),D - Rural,2510950,501,"A - Less than 1,000",1,68.37,3.76%,A - Less than 10 percent,A - Northeast,Regular LEA
Southgate Community Schools,2018,https://www.southgateschools.com/,"14600 Dix Toledo Road Southgate, MI 48195",14600 Dix Toledo Road,,Southgate,MI,48195,42.2034215,-83.207015,MI,1,Suburb - Large (21),B - Suburban,2632340,"4,265","C - 2,500 - 9,999",8,450.82,13.45%,B - 10 to 19.99 percent,C - Central,Regular LEA
Spartanburg School District One,2020,http://www.spartanburg1.k12.sc.us/,"121 Wheeler Street  Campobello, SC 29322",121 Wheeler Street ,,Campobello,SC,29322,35.11317,-82.14752,SC,1,Rural - Fringe (41),D - Rural,4503480,"5,179","C - 2,500 - 9,999",10,484.3,21.00%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Spencer County Public Schools,2020,http://www.spencer.kyschools.us/,"207 W. Main Street  Taylorsville, KY 40071",207 W. Main Street ,,Taylorsville,KY,40071,38.03012,-85.34838,KY,1,Rural - Distant (42),D - Rural,2105490,"3,021","C - 2,500 - 9,999",5,408.3,8.58%,A - Less than 10 percent,B - Southeast,Regular LEA
Spencerport Central School District,"2017, 2019",http://www.spencerportschools.org/,"71 Lyell Ave Spencerport, NY 14559",71 Lyell Ave,,Spencerport,NY,14559,43.18701,-77.79273,NY,2,Suburb - Large (21),B - Suburban,3627780,"3,623","C - 2,500 - 9,999",6,716.75,8.66%,A - Less than 10 percent,A - Northeast,Regular LEA
Splendora Independent School District,2017,https://www.splendoraisd.org/,"23419 Farm to Market Road 2090 Splendora, TX 77372",23419 Farm to Market Road 2090,,Splendora,TX,77372,30.23745,-95.18716,TX,1,Rural - Fringe (41),D - Rural,4841070,"3,780","C - 2,500 - 9,999",5,480.67,18.24%,B - 10 to 19.99 percent,D - West,Regular LEA
Spotsylvania County Public Schools,2019,https://www.spotsylvania.k12.va.us/,"8020 River Stone Drive Fredericksburg, VA 22407",8020 River Stone Drive,,Fredericksburg,VA,22407,38.18071,-77.51773,VA,1,Rural - Fringe (41),D - Rural,5103640,"23,597","D - 10,000 - 24,999",34,"2,603.26",9.40%,A - Less than 10 percent,B - Southeast,Regular LEA
Spring Branch Independent School District,2017,https://www.springbranchisd.com/,"955 Campbell Road Houston, TX 77024",955 Campbell Road,,Houston,TX,77024,29.78206,-95.51566,TX,1,City - Large (11),A - City,4841100,"35,301","E - 25,000 - 99,999",50,"4,113.40",22.79%,C - 20 to 29.99 percent,D - West,Regular LEA
Spring Lake Park Schools,2016,https://www.springlakeparkschools.org/,"1415 81st Avenue NE Spring Lake Park, MN 55432",1415 81st Avenue NE,,Spring Lake Park,MN,55432,45.11549,-93.23564,MN,1,Suburb - Large (21),B - Suburban,2733330,"5,833","C - 2,500 - 9,999",11,631.84,9.86%,A - Less than 10 percent,C - Central,Regular LEA
Springfield Public Schools,2018,https://www.sps.org/,"1359 East Saint Louis Street Springfield, MO 65802",1359 East Saint Louis Street,,Springfield,MO,65802,37.20987,-93.27169,MO,1,City - Midsize (12),A - City,2928860,"25,671","E - 25,000 - 99,999",55,"2,467.34",18.34%,B - 10 to 19.99 percent,C - Central,Regular LEA
Springfield Public Schools,2020,https://www.springfieldpublicschools.com/,"1550 Main Street Springfield, MA 01103",1550 Main Street,,Springfield,MA,1103,42.10334,-72.59244,MA,1,City - Midsize (12),A - City,2511130,"25,297","E - 25,000 - 99,999",61,"3,660.53",37.69%,D - 30 percent or more,A - Northeast,Regular LEA
St. Charles CUSD 303,2019,https://district.d303.org/,"201 South 7th Street St. Charles, IL 60174 ",201 South 7th Street,,St. Charles,IL,60174,41.9105283,-88.3210432,IL,1,Suburb - Large (21),B - Suburban,1737170,"12,660","D - 10,000 - 24,999",17,"1,674.13",4.54%,A - Less than 10 percent,C - Central,Regular LEA
St. Johns County School District,2018,http://www.stjohns.k12.fl.us/,"40 Orange Street St. Augustine, FL 32084",40 Orange Street,,St. Augustine,FL,32084,29.89778,-81.31587,FL,1,Rural - Fringe (41),D - Rural,1201740,"36,593","E - 25,000 - 99,999",49,"4,794.00",7.00%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
St. Landry Parish School System,2020,https://www.slp.k12.la.us/,"1013 Creswell Lane Opelousas, LA 70570",1013 Creswell Lane,,Opelousas,LA,70570,30.51936,-92.07367,LA,1,Town - Fringe (31),C - Town,2201560,"13,625","D - 10,000 - 24,999",35,,31.18%,D - 30 percent or more,B - Southeast,Regular LEA
St. Lucie Public Schools,2017,https://www.stlucie.k12.fl.us/,"501 Northwest University Boulevard Port St. Lucie, FL 34986",501 Northwest University Boulevard,,Port St. Lucie,FL,34986,27.32142,-80.39808,FL,1,City - Midsize (12),A - City,1201770,"40,045","E - 25,000 - 99,999",52,"4,839.18",22.72%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
St. Martin Parish School District,2017,https://www.saintmartinschools.org/,"600 Corporate Boulevard Breaux Bridge, LA 705172201590",600 Corporate Boulevard,,Breaux Bridge,LA,7.05172E+11,30.28698,-91.90494,LA,1,Town - Fringe (31),C - Town,2201590,"8,372","C - 2,500 - 9,999",16,"1,100.36",25.89%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
St. Vrain Valley Schools,2019,https://www.svvsd.org/," 395 South Pratt Parkway Longmont, CO 80501", 395 South Pratt Parkway,,Longmont,CO,80501,40.15543,-105.10779,CO,1,Suburb - Small (23),B - Suburban,805370,"32,171","E - 25,000 - 99,999",51,"3,608.77",8.74%,A - Less than 10 percent,D - West,Regular LEA
Stanwood Camano School District,2017,http://www.stanwood.wednet.edu/,"26920 Pioneer Highway Stanwood, WA 98292",26920 Pioneer Highway,,Stanwood,WA,98292,48.24071,-122.34562,WA,1,Town - Fringe (31),C - Town,5308340,"4,519","C - 2,500 - 9,999",11,370.28,6.76%,A - Less than 10 percent,D - West,Regular LEA
Sugar-Salem School District #322,2019,https://www.sugarsalem.org/,"105 West Center Sugar City, ID 83448",105 West Center,,Sugar City,ID,83448,43.87248,-111.74993,ID,1,Town - Distant (32),C - Town,1603090,"1,604","B - 1,000 - 2,499",5,143.97,12.51%,B - 10 to 19.99 percent,D - West,Regular LEA
Summit Public Schools,2020,https://www.summit.k12.nj.us/,"14 Beekman Terrace Summit, NJ 07901",14 Beekman Terrace,,Summit,NJ,7901,40.7143,-74.37818,NJ,1,Suburb - Large (21),B - Suburban,3415900,"3,961","C - 2,500 - 9,999",9,637.92,2.98%,A - Less than 10 percent,A - Northeast,Regular LEA
Sumter County Public Schools,2020,https://www.sumter.k12.fl.us/Domain/4,"2680 West County Road 476  Bushnell, FL 33513",2680 West County Road 476 ,,Bushnell,FL,33513,28.65915,-82.14735,FL,1,City - Small (13),A - City,1201800,"8,649","C - 2,500 - 9,999",13,,25.51%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Sunapee School District | SAU 85,2019,https://www.sau85.org/,"70 Lower Main Street Sunapee, NH 03782",70 Lower Main Street,,Sunapee,NH,3782,43.38698,-72.09442,NH,1,Rural - Fringe (41),D - Rural,3306540,407,"A - Less than 1,000",3,82.2,4.90%,A - Less than 10 percent,A - Northeast,Regular LEA
Sunnyside Unifed School District,2017,https://www.susd12.org/,"2238 East Ginter Road Tucson, AZ 85706",2238 East Ginter Road,,Tucson,AZ,85706,32.13741,-110.93783,AZ,1,City - Large (11),A - City,408170,"15,962","D - 10,000 - 24,999",22,"1,951.86",36.58%,D - 30 percent or more,D - West,Regular LEA
Surry County Schools,2020,https://www.surry.k12.nc.us/,"209 N. Crutchfield Street Dobson, NC 27017",209 N. Crutchfield Street,,Dobson,NC,27017,36.39677,-80.72478,NC,1,Rural - Distant (42),D - Rural,3704410,"7,810","C - 2,500 - 9,999",19,,21.25%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Sycamore Community School District 427,2019,,"245 West Exchange Street Sycamore, IL 60178",245 West Exchange Street,,Sycamore,IL,60178,41.99062,-88.68737,IL,1,Suburb - Small (23),B - Suburban,1738460,"3,729","C - 2,500 - 9,999",7,487.49,6.58%,A - Less than 10 percent,C - Central,Regular LEA
Sylvan Union School District,2019,https://www.sylvan.k12.ca.us/,"605 Sylvan Avenue Modesto, CA 95350",605 Sylvan Avenue,,Modesto,CA,95350,37.68957,-120.98572,CA,1,City - Midsize (12),A - City,638670,"8,399","C - 2,500 - 9,999",14,712.94,13.07%,B - 10 to 19.99 percent,D - West,Regular LEA
Syracuse City School District,2019,http://www.syracusecityschools.com/,"725 Harrison Street Syracuse, NY 13210",725 Harrison Street,,Syracuse,NY,13210,43.04482,-76.1396,NY,2,City - Midsize (12),A - City,3628590,"21,015","D - 10,000 - 24,999",33,"3,654.91",39.21%,D - 30 percent or more,A - Northeast,Regular LEA
Tacoma Public Schools,2020,https://www.tacomaschools.org/,"601 South 8th Street Tacoma, WA 98405",601 South 8th Street,,Tacoma,WA,98405,47.25637,-122.44582,WA,1,City - Midsize (12),A - City,5308700,"30,260","E - 25,000 - 99,999",66,"2,748.10",13.42%,B - 10 to 19.99 percent,D - West,Regular LEA
Taft Independent School District,2020,https://www.taftisd.net/,"400 College St Taft, TX 78390",400 College St,,Taft,TX,78390,27.9852528,-97.3921175,TX,1,Town - Fringe (31),C - Town,4842060,"1,047","B - 1,000 - 2,499",3,197.9,28.01%,C - 20 to 29.99 percent,D - West,Regular LEA
Tallassee City Schools ,2020,https://www.tcschools.com/,"308 King Street  Tallassee, AL 36078 ",308 King Street ,,Tallassee,AL,36078,32.53721,-85.89314,AL,1,Rural - Fringe (41),D - Rural,103240,"1,777","B - 1,000 - 2,499",3,171,19.83%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Tangipahoa Parish School System,2019,https://www.tangischools.org/,"59656 Puleston Road Amite, LA 70422",59656 Puleston Road,,Amite,LA,70422,30.71767,-90.53708,LA,1,Suburb - Small (23),B - Suburban,2201680,"19,374","D - 10,000 - 24,999",34,,29.53%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Taos Municipal Schools,2019,http://www.taosschools.org/,"310 Camino De La Placita Taos, NM 87571",310 Camino De La Placita,,Taos,NM,87571,36.40875,-105.57485,NM,1,Town - Remote (33),C - Town,3502520,"2,827","C - 2,500 - 9,999",10,336.05,27.78%,C - 20 to 29.99 percent,D - West,Regular LEA
Temple Independent School District,2017,https://www.tisd.org/,"200 N 23rd St Temple, TX 76504",200 N 23rd St,,Temple,TX,76504,31.10222,-97.35223,TX,1,City - Small (13),A - City,4842330,"8,636","C - 2,500 - 9,999",16,"1,120.46",29.14%,C - 20 to 29.99 percent,D - West,Regular LEA
Tenafly Public Schools,2017,https://www.tenaflyschools.org/,"500 Tenafly Road Tenafly, NJ 07670",500 Tenafly Road,,Tenafly,NJ,7670,40.92933,-73.96608,NJ,1,Suburb - Large (21),B - Suburban,3416110,"3,666","C - 2,500 - 9,999",6,585.54,4.57%,A - Less than 10 percent,A - Northeast,Regular LEA
Terrell Independent School District,2017,http://www.terrellisd.org/,"700 North Catherine Street Terrell, TX 75160",700 North Catherine Street,,Terrell,TX,75160,32.7438028,-96.2758659,TX,1,Town - Distant (32),C - Town,4842450,"4,260","C - 2,500 - 9,999",8,567.84,24.27%,C - 20 to 29.99 percent,D - West,Regular LEA
Teton School District 401,"2017, 2018",https://tsd401.org/,"445 N. Main Street  Driggs, ID 83422",445 N. Main Street ,,Driggs,ID,83422,43.72937,-111.11063,ID,2,Rural - Remote (43),D - Rural,1603180,"1,774","B - 1,000 - 2,499",7,174.7,12.07%,B - 10 to 19.99 percent,D - West,Regular LEA
The Charter School of Wilmington,2020,https://charterschool.org/,"100 N. DuPont Road Wilmington, DE 19807",100 N. DuPont Road,,Wilmington,DE,19807,39.75426,-75.58667,DE,1,City - Small (13),A - City,1000004,972,"A - Less than 1,000",1,70,,E - N/A,A - Northeast,Charter
The School District of Philadelphia,2020,https://www.philasd.org/,"440 N. Broad Street Philadelphia, PA 19130",440 N. Broad Street,,Philadelphia,PA,19130,39.96101,-75.16264,PA,1,City - Large (11),A - City,4218990,"132,520","F - 100,000 or more",217,"18,410.00",35.95%,D - 30 percent or more,A - Northeast,Regular LEA
The Sherman School,2019,http://www.shermanschool.com/,"2 Route 37 East Sherman, CT  06784",2 Route 37 East,,Sherman,CT,6784,41.57835,-73.49577,CT,1,Rural - Fringe (41),D - Rural,904080,313,"A - Less than 1,000",1,81.26,4.01%,A - Less than 10 percent,A - Northeast,Regular LEA
Thomas County Schools,2019,http://www.thomas.k12.ga.us/,"200 N Pinetree Blvd Thomasville, GA 31792",200 N Pinetree Blvd,,Thomasville,GA,31792,30.85911,-83.95192,GA,1,Town - Distant (32),C - Town,1304890,"5,847","C - 2,500 - 9,999",7,835.8,20.38%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Thompson Falls School District #2,2019,https://www.thompsonfalls.net/thompsonfalls,"206 Haley Ave. West Thompson Falls, MT 59873",206 Haley Ave. West,,Thompson Falls,MT,59873,47.59686,-115.34256,MT,1,Rural - Remote (43),D - Rural,3026100,164,"A - Less than 1,000",1,22.2,32.53%,D - 30 percent or more,D - West,Regular LEA
Thompson School District,2019,https://www.thompsonschools.org/Page/1,"800 S. Taft Ave Loveland, CO 80537",800 S. Taft Ave,,Loveland,CO,80537,40.38395,-105.09591,CO,1,Suburb - Large (21),B - Suburban,805400,"16,280","D - 10,000 - 24,999",35,"2,017.19",7.80%,A - Less than 10 percent,D - West,Regular LEA
Tigard-Tualatin School District,2020,https://www.ttsdschools.org/TTSD,"6960 SW Sandburg Tigard, OR 97223",6960 SW Sandburg,,Tigard,OR,97223,45.42026,-122.74935,OR,1,Suburb - Large (21),B - Suburban,4112240,"12,710","D - 10,000 - 24,999",17,"1,314.33",9.18%,A - Less than 10 percent,D - West,Regular LEA
Tippecanoe School Corporation,2016,https://www.tsc.k12.in.us/,"21 Elston Road Lafayette, IN 47909",21 Elston Road,,Lafayette,IN,47909,40.39208,-86.90403,IN,1,Rural - Fringe (41),D - Rural,1811340,"13,108","D - 10,000 - 24,999",19,"1,785.14",10.95%,B - 10 to 19.99 percent,C - Central,Regular LEA
Tipton County Schools,2017,http://www.tipton-county.com/,"1580 Highway 51 South Covington, TN 38019",1580 Highway 51 South,,Covington,TN,38019,35.56481,-89.64952,TN,1,Town - Fringe (31),C - Town,4704080,"11,376","D - 10,000 - 24,999",14,"1,452.70",20.70%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Toledo Public Schools,2020,https://www.tps.org/,"1609 N. Summit St. Toledo, OH 43604",1609 N. Summit St.,,Toledo,OH,43604,41.66198,-83.51726,OH,2,City - Large (11),A - City,3904490,"23,302","D - 10,000 - 24,999",55,"4,251.61",33.35%,D - 30 percent or more,C - Central,Regular LEA
Toltec School District,2019,http://www.toltecsd.org/,"3315 N. Toltec Rd Eloy, AZ 85131",3315 N. Toltec Rd,,Eloy,AZ,85131,32.7829631,-111.6192576,AZ,1,Rural - Fringe (41),D - Rural,408550,"1,018","B - 1,000 - 2,499",3,125.9,18.63%,B - 10 to 19.99 percent,D - West,Regular LEA
Township High School District 211,2020,https://adc.d211.org/,"1750 S. Roselle Road Palatine, IL 60067",1750 S. Roselle Road,,Palatine,IL,60067,42.08098,-88.07908,IL,1,City - Small (13),A - City,1730450,"11,739","D - 10,000 - 24,999",7,"1,915.68",7.27%,A - Less than 10 percent,C - Central,Regular LEA
Trenton Public Schools,2020,https://www.trentonschools.com/domain/75,"2603 Charlton Road Trenton, MI 48183",2603 Charlton Road,,Trenton,MI,48183,42.14242,-83.20141,MI,1,Suburb - Large (21),B - Suburban,2633900,"2,530","C - 2,500 - 9,999",4,271.98,9.12%,A - Less than 10 percent,C - Central,Regular LEA
Trenton R-IX School District,2017,http://www.trentonr9.k12.mo.us/,"1607 Normal Street Trenton, MO 64683",1607 Normal Street,,Trenton,MO,64683,40.080729,-93.6040345,MO,1,Town - Remote (33),C - Town,2930360,"1,218","B - 1,000 - 2,499",3,169.49,23.25%,C - 20 to 29.99 percent,C - Central,Regular LEA
Trinity Area School District,2020,https://www.trinitypride.org/,"231 Park Avenue Washington, PA 15301",231 Park Avenue,,Washington,PA,15301,40.16416,-80.24881,PA,1,Suburb - Large (21),B - Suburban,4223760,"3,202","C - 2,500 - 9,999",6,409,10.54%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Troy City School District,2016,http://www.troycsd.org/,"475 First Street Troy, NY 12180",475 First Street,,Troy,NY,12180,42.71233,-73.69745,NY,1,City - Small (13),A - City,3628950,"4,071","C - 2,500 - 9,999",7,648.75,30.69%,D - 30 percent or more,A - Northeast,Regular LEA
Tucson Unified School District,2017,http://tusd1.org/,"1010 E. Tenth St. Tucson, AZ 85719",1010 E. Tenth St.,,Tucson,AZ,85719,32.22231,-110.9558,AZ,1,City - Large (11),A - City,408800,"47,839","E - 25,000 - 99,999",86,"5,929.46",28.29%,C - 20 to 29.99 percent,D - West,Regular LEA
Tukwila School District,2019,https://www.tukwilaschools.org/,"4640 S. 144th St Tukwila, WA 98168",4640 S. 144th St,,Tukwila,WA,98168,47.47507,-122.27744,WA,1,Suburb - Large (21),B - Suburban,5308130,"2,985","C - 2,500 - 9,999",8,270.04,33.44%,D - 30 percent or more,D - West,Regular LEA
Tulare Joint Union High School District,2019,https://www.tulare.k12.ca.us/,"426 N Blackstone Tulare, CA 93274",426 N Blackstone,,Tulare,CA,93274,36.21408,-119.33075,CA,1,Suburb - Midsize (22),B - Suburban,639930,"5,544","C - 2,500 - 9,999",7,481.65,22.69%,C - 20 to 29.99 percent,D - West,Regular LEA
Tully Central School District,2019,http://www.tullyschools.org/,"20 State Street Tully, NY 13159",20 State Street,,Tully,NY,13159,42.79663,-76.11047,NY,1,Rural - Distant (42),D - Rural,3629130,819,"A - Less than 1,000",2,160.14,11.74%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Tupelo Public School District,2018,https://www.tupeloschools.com/,"72 South Green Street Tupelo, MS 38804",72 South Green Street,,Tupelo,MS,38804,34.2569726,-88.7068357,MS,1,Town - Remote (33),C - Town,2804320,"7,146","C - 2,500 - 9,999",14,"1,000.33",26.15%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Tyler Independent School District,2017,https://www.tylerisd.org/,"1319 Earl Campbell Parkway Tyler, TX 75701",1319 Earl Campbell Parkway,,Tyler,TX,75701,32.32921,-95.33465,TX,1,City - Midsize (12),A - City,4843470,"18,171","D - 10,000 - 24,999",28,"2,478.92",21.29%,C - 20 to 29.99 percent,D - West,Regular LEA
Tyngsborough Public Schools,2020,https://www.tyngsboroughps.org/,"50 Norris Road Tyngsborough, MA 01879",50 Norris Road,,Tyngsborough,MA,1879,42.69567,-71.40623,MA,1,Suburb - Large (21),B - Suburban,2511760,"1,640","B - 1,000 - 2,499",3,225.3,4.20%,A - Less than 10 percent,A - Northeast,Regular LEA
Unatego Central School District,2020,https://www.unatego.org/Default.aspx,"2641 State Highway 7 Otego, NY 13825",2641 State Highway 7,,Otego,NY,13825,42.37615,-75.23174,NY,1,Rural - Distant (42),D - Rural,3629240,820,"A - Less than 1,000",3,177.49,14.41%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Union Grove Independent School District,2017,https://www.ugisd.org/,"11220 Union Grove Rd Gladewater, TX 75647",11220 Union Grove Rd,,Gladewater,TX,75647,32.56917,-94.92307,TX,1,Rural - Fringe (41),D - Rural,4843530,726,"A - Less than 1,000",3,112.68,22.80%,C - 20 to 29.99 percent,D - West,Regular LEA
Union Hill Independent School District,2017,http://www.uhisd.com/,"2197 Farm to Market Road 2088 Gilmer, TX 75644",2197 Farm to Market Road 2088,,Gilmer,TX,75644,32.76807,-94.99771,TX,1,Rural - Distant (42),D - Rural,4843560,306,"A - Less than 1,000",2,54.44,24.61%,C - 20 to 29.99 percent,D - West,Regular LEA
United Independent School District,2017,https://www.uisd.net/,"201 Lindenwood Drive Laredo, TX 78045",201 Lindenwood Drive,,Laredo,TX,78045,27.572979,-99.4801821,TX,2,City - Large (11),A - City,4843650,"43,710","E - 25,000 - 99,999",47,"6,118.37",33.20%,D - 30 percent or more,D - West,Regular LEA
Upper Arlington Schools,2016,https://www.uaschools.org/," 1950 North Mallway Drive Upper Arlington, OH 43221", 1950 North Mallway Drive,,Upper Arlington,OH,43221,39.99962,-83.06117,OH,1,Suburb - Large (21),B - Suburban,3904493,"5,892","C - 2,500 - 9,999",8,"1,344.04",6.73%,A - Less than 10 percent,C - Central,Regular LEA
Urbana School District 116,2017,http://usd116.org/,"205 N. Race Street Urbana, IL 61803",205 N. Race Street,,Urbana,IL,61803,40.11403,-88.20938,IL,1,City - Small (13),A - City,1739960,"4,449","C - 2,500 - 9,999",10,704.46,20.37%,C - 20 to 29.99 percent,C - Central,Regular LEA
Urbandale Community School District,2020,https://www.urbandaleschools.com/,"11152 Aurora Avenue Urbandale , IA 50322 ",11152 Aurora Avenue,,Urbandale ,IA,50322,41.6381692,-93.7694082,IA,1,Suburb - Large (21),B - Suburban,1928680,"4,255","C - 2,500 - 9,999",7,586.46,5.46%,A - Less than 10 percent,C - Central,Regular LEA
Utica Community Schools,2019,http://www.uticak12.org/ucsmain.asp,"11303 Greendale Dr Sterling Heights, MI 48312",11303 Greendale Dr,,Sterling Heights,MI,48312,42.56372,-83.0148,MI,1,Suburb - Large (21),B - Suburban,2634470,"27,718","E - 25,000 - 99,999",38,"2,638.05",9.79%,A - Less than 10 percent,C - Central,Regular LEA
Valley Springs Schools,2017,http://www.valley.k12.ar.us/,"7349 School St Valley Springs, AR 72682",7349 School St,,Valley Springs,AR,72682,36.1576192,-92.9936479,AR,1,Rural - Distant (42),D - Rural,513350,921,"A - Less than 1,000",3,141.67,22.47%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Valley View Community Unit School District 365U,2019,https://www.vvsd.org/,"801 West Normantown Rd. Romeoville, IL 60446",801 West Normantown Rd.,,Romeoville,IL,60446,41.65359,-88.10287,IL,1,Suburb - Large (21),B - Suburban,1740070,"16,830","D - 10,000 - 24,999",20,"2,461.00",11.19%,B - 10 to 19.99 percent,C - Central,Regular LEA
Valparaiso Community Schools,2020,https://www.valpo.k12.in.us/,"3801 N. Campbell St Valparaiso, IN 46385",3801 N. Campbell St,,Valparaiso,IN,46385,41.50314,-87.06615,IN,1,Suburb - Large (21),B - Suburban,1811970,"6,286","C - 2,500 - 9,999",12,906.39,8.85%,A - Less than 10 percent,C - Central,Regular LEA
Vancouver Public Schools,2016,http://vansd.org/,"2901 Falk Road Vancouver, WA 98661",2901 Falk Road,,Vancouver,WA,98661,45.64278,-122.62663,WA,1,Suburb - Large (21),B - Suburban,5309270,"23,522","D - 10,000 - 24,999",42,"1,997.42",11.88%,B - 10 to 19.99 percent,D - West,Regular LEA
